exp,sample_full,sample_reduced,contract,area_change_t10,area_change_t20,rel_max_contraction,best_mol,best_time_yarn,marker,color
pattern3013,Rose-6,R6,1_3,0.5221038151246489,0.1751031054843031,-0.17931150438138088,12,10,o,CC00CC
pattern3013,Rose-6,R6,1_2_3_4,0.5244141037620955,0.1827012811308461,-0.15855344682258957,13,10,o,CC00CC
pattern3013,Rose-6,R6,5_6_7_8,0.0319904391919182,0.0279247241059551,-0.0009219004304536479,32,10,o,CC00CC
pattern3013,Rose-6,R6,1_2_5_6,0.4854334042522599,0.2442436631287725,-0.15843626375113098,8,10,o,CC00CC
pattern3013,Rose-6,R6,1_2_7_8,0.4933040997703162,0.1859226032250894,-0.16210794781967414,3,10,o,CC00CC
pattern3013,Rose-6,R6,1_2_3_4_5_6_7_8,0.4463544242688928,0.1901605321396901,-0.12514284498763467,18,10,o,CC00CC
pattern3018,Rose-7,R7,1_4,0.495768752939377,0.4003274464375413,-0.07971542103906479,2,10,o,660066
pattern3018,Rose-7,R7,1_2_3_4,0.59957749770116,0.4371997774602187,-0.06916723962913823,2,10,o,660066
pattern3018,Rose-7,R7,1_3_5_7,0.5465760635282995,0.4014113043844345,-0.07126286589637608,24,10,o,660066
pattern3018,Rose-7,R7,1_2_3_4_5_6_7_8,0.505514424109762,0.4107482259046988,-0.04980515867677005,24,10,o,660066
pattern3021,Rose-3,R3,1_4,0.5148630619778367,0.3758091292567849,-0.1291578618117585,4,10,o,6600CC
pattern3021,Rose-3,R3,1_7,0.5036347411750639,0.3575092746312716,-0.1408666638959729,2,10,o,6600CC
pattern3021,Rose-3,R3,1_2_3_4,0.4879853941086561,0.3841841243099115,-0.09542999451323471,4,10,o,6600CC
pattern3021,Rose-3,R3,1_4_6_7,0.516125844716769,0.3789017256518642,-0.10904863028638671,2,10,o,6600CC
pattern3021,Rose-3,R3,1_2_5_6,0.5357689122072495,0.4124922126252712,-0.10907093587620896,2,10,o,6600CC
pattern3021,Rose-3,R3,1_2_3_4_5_6_7_8,0.4536722797237482,0.3864627323379146,-0.056091547948734936,2,10,o,6600CC
pattern3026,Rose-5,R5,1_7,0.3462242298968371,0.3067097921926969,-0.22276429055391353,4,10,o,FF66FF
pattern3026,Rose-5,R5,1_2_3_4,0.3948063822908235,0.3307942173101065,-0.1544611716446524,13,10,o,FF66FF
pattern3026,Rose-5,R5,1_3_5_7,0.4168274014696334,0.3166071499115038,-0.1905384495752943,32,10,o,FF66FF
pattern3026,Rose-5,R5,1_2_3_4_5_6_7_8,0.3678081474196791,0.2685739771073918,-0.11043681676207352,27,10,o,FF66FF
pattern2002,Diamond-2,D2,1,0.0846002685314443,0.0602644067907992,-0.12459321208022545,9,10,D,0099CC
pattern2002,Diamond-2,D2,1_2_3_4,0.0788872798559932,0.031044841194582,-0.028981088413657784,25,10,D,0099CC
pattern2009,Diamond-3,D3,1_2_3_4,0.1654064171942309,0.0239378563145947,-0.12289785915720261,1,10,D,66CCFF
pattern2009,Diamond-3,D3,1_2_3_4_5_6_7_8,0.0497067123814528,0.0161401761265406,-0.009788953406285404,16,10,D,66CCFF
pattern3043,Rose-11,R11,1_3,0.3404362300330938,0.0678683248229866,-0.1828041055191802,10,10,o,FF9999
pattern3043,Rose-11,R11,1_2_3_4,0.2586779326948091,0.1012196372973137,-0.12364754736101839,9,10,o,FF9999
pattern3043,Rose-11,R11,5_6_7_8,0.3550993464680611,0.0486359886616395,-0.1377422431550045,25,10,o,FF9999
pattern3043,Rose-11,R11,1_2_3_4_5_6_7_8,0.2923678457250565,0.0954018217799407,-0.038719260539840615,25,10,o,FF9999
pattern1092,Square-1,S1,1_3,0.2893942405815335,0.0990539728686652,-0.1503967025397224,7,10,s,FFFF99
pattern1092,Square-1,S1,1_2_3_4,0.1776111773537444,0.0889295822322621,-0.02990339011851391,52,10,s,FFFF99
pattern3051,Rose-12,R12,1,0.429573282672176,0.1696164791652619,-0.2453443692682979,7,10,o,FF6600
pattern3051,Rose-12,R12,3,0.2679148831999954,0.2373886209399008,-0.031128815184722797,27,10,o,FF6600
pattern3051,Rose-12,R12,1_2,0.5284342356436815,0.0933693912344358,-0.2319226863118082,6,10,o,FF6600
pattern3051,Rose-12,R12,1_2_3_4_5_6_7_8,0.474152784011874,0.3894571819556544,-0.16749458023714214,7,10,o,FF6600
pattern3034,Rose-10,R10,1_3,0.390640131756557,0.2707177065082735,-0.2361903623466963,6,10,o,993366
pattern3034,Rose-10,R10,1_2_3_4,0.5333777462901992,0.3155526829220057,-0.17501935077572858,17,10,o,993366
pattern3034,Rose-10,R10,5_6_7_8,0.2362017477245397,0.2055041078788474,-0.03521964453710181,48,10,o,993366
pattern3034,Rose-10,R10,1_2_3_4_5_6_7_8,0.4392949881888321,0.2803529830135312,-0.12935540751949737,15,10,o,993366
pattern3025,Rose-2,R2,1_2_3_4,0.5423867382000513,0.3811842293442873,-0.1809797386533296,8,10,o,9966FF
pattern3025,Rose-2,R2,1_2_3_4_5_6_7_8,0.4980840392417465,0.2892415255863608,-0.13342970583751332,8,10,o,9966FF
pattern3023v2,Rose-1,R1,1,0.4701683446190379,0.369293345627699,-0.13133434227341906,4,10,o,CC99FF
pattern3023v2,Rose-1,R1,1_2,0.693899150723014,0.4966765170971426,-0.12287227527008585,7,10,o,CC99FF
pattern3023v2,Rose-1,R1,1_3,0.6398267944007493,0.3805085446499882,-0.1268942895130326,4,10,o,CC99FF
pattern3023v2,Rose-1,R1,1_4,0.7035952366515463,0.4779188236913688,-0.12470920348603355,17,10,o,CC99FF
pattern3023v2,Rose-1,R1,1_5,0.6332050838532469,0.4655486789728615,-0.13068139918722368,22,10,o,CC99FF
pattern3023v2,Rose-1,R1,1_6,0.6742003029469079,0.4686062468550519,-0.13065041243248562,4,10,o,CC99FF
pattern3023v2,Rose-1,R1,1_2_3_4,0.7528303825353475,0.4912829816236611,-0.1064700555167114,4,10,o,CC99FF
pattern3023v2,Rose-1,R1,1_2_5_6,0.7612055758869021,0.4900456645479233,-0.11506579995754027,4,10,o,CC99FF
pattern3023v2,Rose-1,R1,1_4_6_7,0.7623321234898792,0.4628882045013933,-0.1151041232167806,29,10,o,CC99FF
pattern3023v2,Rose-1,R1,1_3_5_7,0.7069454960970921,0.4303793250747588,-0.11014722829236895,32,10,o,CC99FF
pattern3023v2,Rose-1,R1,1_3_6_8,0.7061006293286839,0.4300005369586961,-0.11023100749020642,39,10,o,CC99FF
